longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-121.94957,37.361034,1600.0,72.0,16.0,1.0,-1.0,119356.0,2.60243546,5.0,14.15632851,1325000
-121.65761,37.054897,2188.0,46.0,0.0,1.0,-1.0,128977.0,5.35555882,5.0,18.11637282,2175000
-121.64443,37.13252,1220.0,47.0,11.0,0.0,4.0,153091.0,0.35169649,5.0,0.67520343,1255000
-122.398926,37.760403,1778.0,85.0,33.0,0.0,-1.0,176788.0,0.86224087,5.0,0.83695585,1500000
-117.76622,33.862854,2588.0,48.0,9.0,2.0,-1.0,144348.0,2.37793502,5.0,3.99466935,1410000
-119.21027,34.296234,1800.0,61.0,1.0,0.0,4.2,96895.0,2.62788397,5.0,3.09335447,1150000
-122.44827,37.73846,1300.0,83.0,26.0,0.0,4.2,200082.0,1.75135648,5.0,1.78794327,1580000
-122.29209,37.540962,1100.0,79.0,22.0,1.0,-1.0,171213.0,0.51752937,5.0,6.95091988,1230000
-122.18264,37.88557,2060.0,50.0,4.0,1.0,4.2,250001.0,3.05490516,5.0,3.90381559,1555000
-121.96466,37.3629,650.0,125.0,17.0,1.0,-1.0,119356.0,3.38961808,5.0,4.01092319,2000000
-117.689,33.534958,2356.0,53.0,12.0,2.0,4.2,135822.0,2.92747537,5.0,0.44841916,1800000
-121.67121,37.0972,1654.0,62.0,1.0,0.0,-1.0,153091.0,2.95958275,5.0,0.236073,1150000
-118.16042,33.764362,5658.0,104.0,17.0,2.0,4.25,107889.0,2.98556832,5.0,0.88326677,2290000
-118.39191,33.871002,2019.0,40.0,12.0,1.0,-1.0,149500.0,0.49556022,5.0,5.08377493,2112500
-122.04031,37.581333,1467.0,48.0,11.0,0.0,-1.0,202832.0,3.95230237,3.0,2.51834311,1900111
-122.44579,37.62984,1660.0,69.0,18.0,2.0,-1.0,131669.0,2.41461184,3.0,2.89924247,1700000
-117.252945,33.065727,2424.0,35.0,7.0,2.0,-1.0,141329.0,1.24989927,4.8,0.78629377,1895000
-117.27861,33.03708,2835.0,3.0,11.0,1.0,-1.0,141329.0,1.35153392,4.8,2.52615608,2500000
-122.44328,37.761124,1798.0,124.0,37.0,0.0,4.1,184671.0,1.55211555,5.0,30.03053986,1775000
-117.52168,33.925304,4749.0,20.0,3.0,1.0,-1.0,121031.0,7.8161163,5.0,3.97772766,1475000
-118.1335,33.83332,1894.0,75.0,18.0,4.0,2.15,131535.0,2.57669793,5.0,11.35853135,1200000
-122.2455,37.475014,2140.0,100.0,26.0,2.0,-1.0,230391.0,1.49628569,5.0,1.9001445,2428880
-122.28834,37.56063,2100.0,45.0,23.0,1.0,-1.0,182699.0,0.88656014,5.0,0.59980435,1587500
-119.902115,34.433826,1549.0,26.0,4.0,2.0,-1.0,79553.0,4.42404892,5.0,0.71986681,1275000
-121.99857,37.54913,2019.0,66.0,21.0,0.0,-1.0,152076.0,0.78759639,5.0,3.00930944,2150000
-118.38537,34.11251,2747.0,30.0,9.0,0.0,-1.0,87339.0,1.55217208,5.0,9.71308764,2370000
-119.89315,34.43373,1689.0,60.0,4.0,2.0,4.466666666666667,79553.0,3.9174364,5.0,0.90966723,1475000
-118.01418,33.78799,1698.0,65.0,19.0,2.0,4.064705882352942,126103.0,1.85487576,5.0,5.56342798,1150000
-121.98925,37.57417,1829.0,69.0,8.0,0.0,4.2,152076.0,2.12302648,5.0,4.80633444,2145000
-122.31075,37.562057,1180.0,83.0,26.0,3.0,-1.0,184453.0,0.68164825,5.0,0.93967045,1600000
-121.90134,36.982536,2006.0,47.0,5.0,1.0,4.4,136506.0,3.76520319,5.0,1.05018862,1460000
-122.05574,36.964245,1271.0,53.0,6.0,0.0,4.6,101962.0,1.87496668,5.0,0.99117239,1313000
-121.61919,37.036804,1724.0,51.0,0.0,3.0,4.405,128977.0,6.57797727,5.0,14.49891831,1325000
-117.243576,33.053467,1326.0,39.0,5.0,1.0,-1.0,141329.0,0.98791651,5.0,3.09698005,1310000
-117.90918,33.881573,2111.0,64.0,21.0,4.0,4.3,85220.0,2.97894587,5.0,14.14584532,1110000
-117.23015,32.94299,1236.0,39.0,6.0,2.0,4.05,186000.0,2.57265822,5.0,1.87239005,1350000
-117.309555,33.09646,2996.0,25.0,8.0,2.0,4.300000000000001,141739.0,3.79543636,5.0,0.44879297,2175000
-121.88774,36.961624,2087.0,11.0,4.0,1.0,-1.0,136506.0,4.65584096,5.0,0.3073375,2050000
-118.482735,34.15778,2088.0,66.0,15.0,2.0,-1.0,155346.0,2.22352814,5.0,8.92759624,1550000
-117.242546,33.119904,2661.0,23.0,4.0,2.0,-1.0,163402.0,0.84065194,5.0,4.63528968,1650000
-122.4722,37.74284,1402.0,26.0,21.0,1.0,-1.0,145931.0,1.14309272,5.0,2.00560798,1360000
-121.97721,37.533127,1151.0,65.0,23.0,1.0,-1.0,143146.0,0.85996487,5.0,2.67707951,1330000
-121.67324,37.150524,2610.0,21.0,3.0,0.0,4.205,153091.0,2.34161139,5.0,17.86632092,1325750
-119.236374,34.184746,1704.0,54.0,3.0,1.0,-1.0,100074.0,5.18102648,5.0,0.30991589,1325000
-122.46725,37.69196,3065.0,13.0,20.0,3.0,-1.0,111795.0,1.00221078,5.0,1.74414983,1850000
-118.39115,33.973732,1774.0,76.0,30.0,1.0,4.36,125692.0,0.98737084,5.0,3.63839738,1850000
-122.04368,36.97438,2002.0,76.0,12.0,1.0,4.133333333333333,101962.0,1.06973387,5.0,1.05618007,1875000
